time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,,,,,,,,,,
2022/11/02/21:16:40.236765,7026248,1667449000,236523131,tool0_controller,-0.060112047,0.432180497,0.732053305,-0.006792215,-0.013313518,0.005136277,,,,,,,,,,,
2022/11/02/21:16:40.239027,7026249,1667449000,238574206,tool0_controller,-0.06904455,0.429148034,0.778147755,-0.01271805,-0.018215976,0.005075248,,,,,,,,,,,
2022/11/02/21:16:40.240696,7026250,1667449000,240483310,tool0_controller,-0.017354266,0.765897998,1.097184346,-0.010314081,-0.022860534,0.01278891,,,,,,,,,,,
2022/11/02/21:16:40.243025,7026251,1667449000,242518121,tool0_controller,0.079342268,0.259224411,0.910002505,-0.008819302,-0.016101142,0.003782509,,,,,,,,,,,
2022/11/02/21:16:40.246973,7026252,1667449000,244636095,tool0_controller,-0.013509939,0.776237728,0.676830958,-0.005288003,-0.009914426,0.012885388,,,,,,,,,,,
2022/11/02/21:16:40.248602,7026253,1667449000,248288472,tool0_controller,-0.424727802,0.786391789,0.69088621,-0.015865897,-0.011057968,0.006548565,,,,,,,,,,,
2022/11/02/21:16:40.250763,7026254,1667449000,250378459,tool0_controller,-0.0417098,0.589401224,0.656127377,-0.018916151,-0.034493182,0.00687799,,,,,,,,,,,
2022/11/02/21:16:40.254205,7026255,1667449000,252453565,tool0_controller,0.124491681,0.725501563,0.757859844,-0.00233734,-0.036291015,0.012415588,,,,,,,,,,,
2022/11/02/21:16:40.255331,7026256,1667449000,254570832,tool0_controller,-0.132061489,0.803030874,0.69878216,-0.003722776,-0.003311952,0.012028687,,,,,,,,,,,
2022/11/02/21:16:40.260579,7026257,1667449000,256524812,tool0_controller,-0.318219982,0.434490956,1.160627696,-0.016744644,-0.003337169,0.009574918,,,,,,,,,,,
2022/11/02/21:16:40.260672,7026258,1667449000,258571222,tool0_controller,-0.13213448,0.216453183,0.471506085,-0.021304488,-0.008932944,0.003052389,,,,,,,,,,,
2022/11/02/21:16:40.260939,7026259,1667449000,260363414,tool0_controller,0.195958157,0.477588142,0.30207836,-0.011730415,-0.032604669,0.008307611,,,,,,,,,,,
2022/11/02/21:16:40.262599,7026260,1667449000,262086701,tool0_controller,0.224793939,0.818284318,0.425824162,-0.003681094,-0.032810945,0.009619117,,,,,,,,,,,
2022/11/02/21:16:40.263725,7026261,1667449000,263507204,tool0_controller,-0.267887554,0.910434007,1.092074252,-0.002392501,-0.018073874,0.01270861,,,,,,,,,,,
2022/11/02/21:16:40.266984,7026262,1667449000,265123722,tool0_controller,-0.495054516,0.62977264,1.024464462,-0.016599616,-0.00516466,0.014154973,,,,,,,,,,,
2022/11/02/21:16:40.267131,7026263,1667449000,266853832,tool0_controller,0.094001252,0.26193981,0.446494636,-0.020784558,-0.016729978,0.009706478,,,,,,,,,,,
2022/11/02/21:16:40.268770,7026264,1667449000,268288405,tool0_controller,0.124170814,0.543077948,0.501491849,-0.016967088,-0.034230627,0.012174168,,,,,,,,,,,
2022/11/02/21:16:40.269857,7026265,1667449000,269763399,tool0_controller,-0.177198107,0.637691977,0.708307826,-0.004725472,-0.027903178,0.004893088,,,,,,,,,,,
2022/11/02/21:16:40.271543,7026266,1667449000,271104612,tool0_controller,-0.147941043,0.568906263,0.427860286,-0.00614769,-0.015522959,0.004215598,,,,,,,,,,,
2022/11/02/21:16:40.272654,7026267,1667449000,272447807,tool0_controller,0.089559208,0.195442376,0.7806354,-0.017600286,-0.022455873,0.006380764,,,,,,,,,,,
2022/11/02/21:16:40.274311,7026268,1667449000,273801392,tool0_controller,-0.003905932,0.392199148,0.763383878,-0.019216564,-0.015179978,0.01269256,,,,,,,,,,,
2022/11/02/21:16:40.275999,7026269,1667449000,275376602,tool0_controller,-0.057497717,0.695237578,0.977973914,-0.013697839,-0.016052084,0.019473923,,,,,,,,,,,
2022/11/02/21:16:40.279601,7026270,1667449000,276837638,tool0_controller,-0.13298998,0.738745627,0.619184347,-0.002410672,-0.015372804,0.008690294,,,,,,,,,,,
2022/11/02/21:16:40.279620,7026271,1667449000,278593527,tool0_controller,-0.00798389,0.697768254,0.536892594,-0.012644609,-0.027604553,0.008142883,,,,,,,,,,,
2022/11/02/21:16:40.280766,7026272,1667449000,280204982,tool0_controller,0.066051744,0.689385884,0.664657946,-0.019392269,-0.028341787,0.007981103,,,,,,,,,,,
2022/11/02/21:16:40.282264,7026273,1667449000,281812254,tool0_controller,-0.087269723,0.586704082,0.742456365,-0.0187088,-0.012787847,0.007441517,,,,,,,,,,,
