t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
2894,1.00,0.00,-0.00,-0.01,31,-135,183
2895,1.00,0.00,-0.00,-0.01,194,-140,74
2896,1.00,0.00,-0.00,-0.01,216,-155,-54
2897,1.00,0.00,-0.00,-0.01,153,-118,-53
2898,1.00,0.00,-0.00,-0.01,147,-57,-112
2899,1.00,0.00,-0.00,-0.01,54,-45,-188
2900,1.00,0.00,-0.00,-0.01,-31,-7,-153
2901,1.00,0.00,-0.00,-0.01,-114,24,-103
2902,1.00,0.00,-0.00,-0.01,-125,37,-51
2903,1.00,0.00,-0.00,-0.01,-46,60,-44
2904,1.00,0.00,-0.00,-0.01,-77,66,-47
2905,1.00,0.00,-0.00,-0.01,-22,6,34
2906,1.00,0.00,-0.00,-0.01,-21,7,95
2907,1.00,0.00,-0.00,-0.01,-79,27,172
2908,1.00,0.00,-0.00,-0.01,-4,20,227
2909,1.00,0.00,-0.00,-0.01,28,-25,196
2910,1.00,0.00,-0.00,-0.01,54,-97,186
2911,1.00,-0.00,-0.00,-0.01,58,-92,117
2912,1.00,0.00,-0.00,-0.01,64,-65,12
2913,1.00,0.00,-0.00,-0.01,57,-80,-9
2914,1.00,0.00,-0.00,-0.01,22,-61,-80
2915,1.00,0.00,-0.00,-0.01,80,-20,-157
2916,1.00,0.00,-0.00,-0.01,12,17,-169
2917,1.00,0.00,-0.00,-0.01,-112,94,-100
2918,1.00,0.00,-0.00,-0.01,-130,133,-24
2919,1.00,0.00,-0.00,-0.01,-170,172,28
2920,1.00,0.00,-0.00,-0.01,-139,196,153
2921,1.00,0.00,-0.00,-0.01,-167,151,276
2922,1.00,0.00,-0.00,-0.01,-128,114,302
2923,1.00,0.00,-0.00,-0.01,-20,42,181
2924,1.00,0.00,-0.00,-0.01,57,-47,146
2925,1.00,0.00,-0.00,-0.01,194,-103,69
2926,1.00,0.00,-0.00,-0.01,198,-128,-58
2927,1.00,0.00,-0.00,-0.01,175,-140,-110
2928,1.00,0.00,-0.00,-0.01,156,-143,-187
2929,1.00,0.00,-0.00,-0.01,9,-83,-227
2930,1.00,0.00,-0.00,-0.01,-24,10,-190
2931,1.00,0.00,-0.00,-0.01,-71,90,-173
2932,1.00,0.00,-0.00,-0.01,-138,116,-71
2933,1.00,0.00,-0.00,-0.01,-122,145,27
2934,1.00,0.00,-0.00,-0.01,-91,213,14
2935,1.00,0.00,-0.00,-0.01,-1,185,91
2936,1.00,0.00,-0.00,-0.01,-19,128,117
2937,1.00,0.00,-0.00,-0.01,-16,-174,153
2938,1.00,0.00,-0.00,-0.01,-9,-668,197
2939,1.00,-0.00,-0.00,-0.01,9,-1029,93
2940,1.00,-0.00,-0.00,-0.01,120,-1135,-36
2941,1.00,-0.00,-0.00,-0.01,141,-852,-67
2942,1.00,-0.00,-0.00,-0.01,178,-373,-78
2943,1.00,-0.00,-0.00,-0.01,168,-14,-103
2944,1.00,-0.00,-0.00,-0.01,86,120,-228
2945,1.00,-0.00,-0.00,-0.01,27,85,-254
2946,1.00,-0.00,-0.00,-0.01,-53,-18,-251
2947,1.00,-0.00,-0.00,-0.01,-74,-79,-196
2948,1.00,-0.00,-0.00,-0.01,-35,-86,-61
2949,1.00,-0.00,-0.00,-0.01,-70,-16,155
2950,1.00,-0.00,-0.00,-0.01,-101,68,250
2951,1.00,-0.00,-0.00,-0.01,-152,140,294
2952,1.00,-0.00,-0.00,-0.01,-64,115,216
2953,1.00,-0.00,-0.00,-0.01,77,6,125
2954,1.00,-0.00,-0.00,-0.01,143,-159,-16
2955,1.00,-0.00,-0.00,-0.01,198,-234,-121
2956,1.00,-0.00,-0.00,-0.01,144,-216,-179
2957,1.00,-0.00,-0.00,-0.01,74,-90,-213
2958,1.00,-0.00,-0.00,-0.01,15,45,-248
2959,1.00,-0.00,-0.00,-0.01,-45,147,-201
2960,1.00,-0.00,-0.00,-0.01,-57,144,-134
2961,1.00,-0.00,-0.00,-0.01,-104,57,-145
2962,1.00,-0.00,-0.00,-0.01,-27,-2,-150
2963,1.00,-0.00,-0.00,-0.01,-17,1,-52
2964,1.00,-0.00,-0.00,-0.01,-36,76,126
2965,1.00,-0.00,-0.00,-0.01,-4,139,233
2966,1.00,-0.00,-0.00,-0.01,-9,127,256
2967,1.00,-0.00,-0.00,-0.01,25,54,177
2968,1.00,-0.00,-0.00,-0.01,5,-81,125
2969,1.00,-0.00,-0.00,-0.01,23,-148,-7
2970,1.00,-0.00,-0.00,-0.01,105,-131,-127
2971,1.00,-0.00,-0.00,-0.01,120,-50,-205
2972,1.00,-0.00,-0.00,-0.01,165,63,-305
2973,1.00,-0.00,-0.00,-0.01,60,123,-338
2974,1.00,-0.00,-0.00,-0.01,-56,141,-278
2975,1.00,-0.00,-0.00,-0.01,-120,132,-134
2976,1.00,-0.00,-0.00,-0.01,-162,102,-13
2977,1.00,-0.00,-0.00,-0.01,-107,86,104
2978,1.00,-0.00,-0.00,-0.01,-118,96,251
2979,1.00,-0.00,-0.00,-0.01,-39,107,232
2980,1.00,-0.00,-0.00,-0.01,64,41,206
2981,1.00,-0.00,-0.00,-0.01,123,-35,81
2982,1.00,-0.00,-0.00,-0.01,179,-95,-6
2983,1.00,-0.00,-0.00,-0.01,95,-126,-40
2984,1.00,-0.00,-0.00,-0.01,26,-74,-93
2985,1.00,-0.00,-0.00,-0.01,4,-5,-118
2986,1.00,-0.00,-0.00,-0.01,-78,42,-57
2987,1.00,-0.00,-0.00,-0.01,-100,73,-2
2988,1.00,-0.00,-0.00,-0.01,-74,96,8
2989,1.00,-0.00,-0.00,-0.01,-41,73,-2
2990,1.00,-0.00,-0.00,-0.01,-17,57,65
2991,1.00,-0.00,-0.00,-0.01,-62,53,169
2992,1.00,-0.00,-0.00,-0.01,-49,60,227
2993,1.00,-0.00,-0.00,-0.01,-22,30,247
2994,1.00,-0.00,-0.00,-0.01,-20,-16,163
