w,x,y,z,ax,ay,az

0.97,-0.10,0.20,0.02,-2141,-803,1140

0.98,-0.10,0.19,0.02,-2045,-809,1000

0.98,-0.10,0.18,0.02,-1920,-799,851

0.98,-0.09,0.17,0.02,-1743,-779,743

0.98,-0.09,0.17,0.02,-1576,-741,639

0.98,-0.09,0.16,0.02,-1453,-681,513

0.98,-0.09,0.15,0.02,-1438,-623,501

0.99,-0.09,0.14,0.02,-1517,-630,603

0.99,-0.09,0.13,0.03,-1686,-682,761

0.99,-0.09,0.12,0.03,-1849,-734,841

0.99,-0.09,0.11,0.03,-1955,-746,810

0.99,-0.09,0.10,0.03,-1938,-699,685

0.99,-0.09,0.09,0.03,-1841,-618,523

0.99,-0.09,0.08,0.03,-1771,-595,472

0.99,-0.09,0.07,0.03,-1763,-626,540

0.99,-0.08,0.06,0.03,-1756,-665,610

0.99,-0.08,0.06,0.03,-1708,-683,618

